debate_section_id,question_date,recipient,question_count,answer_chars,classification_json,validation_errors,input_tokens,output_tokens,total_tokens
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_109,2025-01-22,Environment,1,151,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_112"",""topic_tags"":[""government_public_service"",""procurement"",""public_spending""],""question_intents"":[""request_statistics_or_data"",""request_funding_or_cost""],""entities"":[{""name"":""Department of the Environment, Climate and Communications"",""type"":""organisation"",""evidence_quote"":""my Department""},{""name"":""company (details supplied)"",""type"":""organisation"",""evidence_quote"":""a company (details supplied)""}],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""procurement"",""evidence_quote"":""public contracts issued to a company""},{""tag"":""public_spending"",""evidence_quote"":""including the value of the contract""},{""tag"":""government_public_service"",""evidence_quote"":""my Department""}]}],""answer"":{""topic_tags"":[""government_public_service"",""procurement""],""answer_characteristics"":[""factual_information_supplied""],""entities"":[{""name"":""Department of the Environment, Climate and Communications"",""type"":""organisation"",""evidence_quote"":""my Department""},{""name"":""companies referred to by the Deputy"",""type"":""organisation"",""evidence_quote"":""the companies referred to by the Deputy""}],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""procurement"",""evidence_quote"":""no contracts with the companies referred to""},{""tag"":""government_public_service"",""evidence_quote"":""my Department has no contracts""}]},""combined_exchange"":{""topic_tags"":[""government_public_service"",""procurement"",""public_spending""],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""procurement"",""evidence_quote"":""public contracts issued to a company""},{""tag"":""public_spending"",""evidence_quote"":""including the value of the contract""},{""tag"":""government_public_service"",""evidence_quote"":""my Department has no contracts""}]}}",,5233,483,5716
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_1367,2025-01-22,Health,1,146,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_1441"",""topic_tags"":[""health"",""public_service_staffing""],""question_intents"":[""request_statistics_or_data"",""request_staffing_or_capacity""],""entities"":[{""name"":""National Gender Service"",""type"":""organisation"",""evidence_quote"":""National Gender Service""},{""name"":""Health Service Executive"",""type"":""public_body"",""evidence_quote"":""the HSE""}],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""health"",""evidence_quote"":""transgender healthcare""},{""tag"":""public_service_staffing"",""evidence_quote"":""lay activists who were promoted into senior policy development positions""}]}],""answer"":{""topic_tags"":[""health"",""government_public_service""],""answer_characteristics"":[""referred_to_another_body"",""direct_reply_promised_by_another_body""],""entities"":[{""name"":""Health Service Executive"",""type"":""public_body"",""evidence_quote"":""I have asked the Health Service Executive to respond""}],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""health"",""evidence_quote"":""As this is a service matter""},{""tag"":""government_public_service"",""evidence_quote"":""asked the Health Service Executive to respond""}]},""combined_exchange"":{""topic_tags"":[""health"",""public_service_staffing"",""government_public_service""],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""health"",""evidence_quote"":""transgender healthcare""},{""tag"":""public_service_staffing"",""evidence_quote"":""senior policy development positions""},{""tag"":""government_public_service"",""evidence_quote"":""Health Service Executive to respond""}]}}",,5249,427,5676
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_169,2025-01-22,Transport,1,3190,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_171"",""topic_tags"":[""transport"",""transport_safety"",""public_transport"",""legislation""],""question_intents"":[""request_explanation_or_rationale"",""request_policy_position"",""request_action_or_intervention""],""entities"":[{""name"":""National Transport Authority"",""type"":""public_body"",""evidence_quote"":""the independent transport regulator, the National Transport Authority (NTA)""},{""name"":""Road Safety Authority"",""type"":""public_body"",""evidence_quote"":""the Road Safety Authority""},{""name"":""National Car Test"",""type"":""programme_scheme"",""evidence_quote"":""the National Car Test (NCT)""},{""name"":""Consolidated Taxi Regulation Act 2013 and 2016"",""type"":""legislation"",""evidence_quote"":""under the provisions of the Consolidated Taxi Regulation Act 2013 and 2016""},{""name"":""Taxi Regulation (Small Public Service Vehicle) Regulations 2015"",""type"":""legislation"",""evidence_quote"":""The Taxi Regulation (Small Public Service Vehicle) Regulations 2015""},{""name"":""Road Traffic (National Car Test) (Amendment) Regulations 2020"",""type"":""legislation"",""evidence_quote"":""The Road Traffic (National Car Test) (Amendment) Regulations 2020""}],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""transport"",""evidence_quote"":""civilian cars ... remain operational on the road""},{""tag"":""transport_safety"",""evidence_quote"":""National Car Test""},{""tag"":""public_transport"",""evidence_quote"":""taxis up to a 151 registration plate""},{""tag"":""legislation"",""evidence_quote"":""Consolidated Taxi Regulation Act 2013 and 2016""}]}],""answer"":{""topic_tags"":[""transport"",""transport_safety"",""public_transport"",""legislation""],""answer_characteristics"":[""factual_information_supplied"",""policy_explanation"",""implementation_status_update"",""timeline_or_deadline_stated"",""legislation_or_regulation_discussed"",""referred_to_another_body"",""direct_reply_promised_by_another_body""],""entities"":[{""name"":""National Transport Authority"",""type"":""public_body"",""evidence_quote"":""the independent transport regulator, the National Transport Authority (NTA)""},{""name"":""Road Safety Authority"",""type"":""public_body"",""evidence_quote"":""the statutory responsibility of the Road Safety Authority""},{""name"":""National Car Test Service"",""type"":""programme_scheme"",""evidence_quote"":""the operation of the National Car Test Service (NCTS)""},{""name"":""Taxi Regulation (Small Public Service Vehicle) Regulations 2015"",""type"":""legislation"",""evidence_quote"":""continued the age limit for taxis and hackneys""},{""name"":""Road Traffic (National Car Test) (Amendment) Regulations 2020"",""type"":""legislation"",""evidence_quote"":""provided for a permanent four-month extension""}],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""transport"",""evidence_quote"":""regulation of the small public service vehicle (SPSV) industry""},{""tag"":""transport_safety"",""evidence_quote"":""standards that offer the customer confidence, comfort, and safety""},{""tag"":""public_transport"",""evidence_quote"":""standard taxis and hackneys""},{""tag"":""legislation"",""evidence_quote"":""The 2022 Regulations amend Regulation 31""}]},""combined_exchange"":{""topic_tags"":[""transport"",""transport_safety"",""public_transport"",""legislation""],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""transport"",""evidence_quote"":""taxis up to a 151 registration plate have not received the same extension""},{""tag"":""transport_safety"",""evidence_quote"":""National Car Test (NCT)""},{""tag"":""public_transport"",""evidence_quote"":""small public service vehicle (SPSV) industry""},{""tag"":""legislation"",""evidence_quote"":""The Road Traffic (National Car Test) (Amendment) Regulations 2020""}]}}",,5915,894,6809
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_180,2025-01-22,Transport,1,3204,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_183"",""topic_tags"":[""transport"",""roads"",""cycling_walking"",""local_government""],""question_intents"":[""request_action_or_intervention"",""request_case_or_local_service_update""],""entities"":[{""name"":""Cahersiveen"",""type"":""place"",""evidence_quote"":""footpaths and streets in Cahersiveen town""},{""name"":""N70"",""type"":""other"",""evidence_quote"":""the N70 in Cahersiveen""},{""name"":""Transport Infrastructure Ireland"",""type"":""public_body"",""evidence_quote"":""Transport Infrastructure Ireland (TII)""},{""name"":""Kerry County Council"",""type"":""organisation"",""evidence_quote"":""Kerry County Council""}],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""roads"",""evidence_quote"":""dangerous condition of footpaths and streets""},{""tag"":""cycling_walking"",""evidence_quote"":""footpaths and streets in Cahersiveen town""},{""tag"":""local_government"",""evidence_quote"":""Cahersiveen town""}]}],""answer"":{""topic_tags"":[""transport"",""roads"",""cycling_walking"",""public_infrastructure"",""local_government"",""government_public_service""],""answer_characteristics"":[""factual_information_supplied"",""statistics_or_figures_supplied"",""funding_or_cost_figures_supplied"",""future_action_or_commitment"",""timeline_or_deadline_stated"",""legislation_or_regulation_discussed"",""referred_to_another_body"",""direct_reply_promised_by_another_body""],""entities"":[{""name"":""Transport Infrastructure Ireland"",""type"":""public_body"",""evidence_quote"":""I have referred your question to TII for a direct reply""},{""name"":""National Transport Authority"",""type"":""public_body"",""evidence_quote"":""€290 million allocated to the National Transport Authority (NTA)""},{""name"":""Kerry County Council"",""type"":""organisation"",""evidence_quote"":""including Kerry County Council""},{""name"":""Roads Acts 1993-2015"",""type"":""legislation"",""evidence_quote"":""Under the Roads Acts 1993-2015""},{""name"":""National Development Plan"",""type"":""policy_initiative"",""evidence_quote"":""the National Development Plan (NDP)""},{""name"":""Cahersiveen"",""type"":""place"",""evidence_quote"":""the N70 in Cahersiveen""}],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""roads"",""evidence_quote"":""maintenance and renewal of the regional and local road network""},{""tag"":""cycling_walking"",""evidence_quote"":""existing Active Travel footpaths and cycle lanes""},{""tag"":""public_infrastructure"",""evidence_quote"":""Investment in Active Travel infrastructure""},{""tag"":""local_government"",""evidence_quote"":""each local authority has statutory responsibility""},{""tag"":""government_public_service"",""evidence_quote"":""the operation and management of individual national roads""}]},""combined_exchange"":{""topic_tags"":[""transport"",""roads"",""cycling_walking"",""public_infrastructure"",""local_government"",""government_public_service""],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""roads"",""evidence_quote"":""dangerous condition of footpaths and streets""},{""tag"":""cycling_walking"",""evidence_quote"":""Active Travel footpaths and cycle lanes""},{""tag"":""public_infrastructure"",""evidence_quote"":""Investment in Active Travel infrastructure""},{""tag"":""local_government"",""evidence_quote"":""each local authority has statutory responsibility""},{""tag"":""government_public_service"",""evidence_quote"":""referred your question to TII for a direct reply""}]}}",,5784,825,6609
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-05/writtens/dbsect_359,2025-02-05,Enterprise,1,178,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-02-05/pq_377"",""topic_tags"":[""enterprise_business"",""public_spending""],""question_intents"":[""request_statistics_or_data"",""request_funding_or_cost""],""entities"":[{""name"":""IDA"",""type"":""public_body"",""evidence_quote"":""all the IDA grants""},{""name"":""company mentioned by the Deputy"",""type"":""other"",""evidence_quote"":""a company (details supplied)""}],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""enterprise_business"",""evidence_quote"":""all the IDA grants given to a company""},{""tag"":""public_spending"",""evidence_quote"":""detailed list of all the IDA grants""}]}],""answer"":{""topic_tags"":[""enterprise_business"",""public_spending""],""answer_characteristics"":[""factual_information_supplied"",""statistics_or_figures_supplied""],""entities"":[{""name"":""IDA"",""type"":""public_body"",""evidence_quote"":""The IDA has confirmed""},{""name"":""company mentioned by the Deputy"",""type"":""other"",""evidence_quote"":""the company mentioned by the Deputy""}],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""enterprise_business"",""evidence_quote"":""grant payments made to the company""},{""tag"":""public_spending"",""evidence_quote"":""there were no grant payments""}]},""combined_exchange"":{""topic_tags"":[""enterprise_business"",""public_spending""],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""enterprise_business"",""evidence_quote"":""all the IDA grants given to a company""},{""tag"":""public_spending"",""evidence_quote"":""there were no grant payments made""}]}}",,5252,422,5674
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-05/writtens/dbsect_881,2025-02-05,Children,1,240,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-02-05/pq_979"",""topic_tags"":[""health"",""disability_services"",""waiting_lists"",""child_health""],""question_intents"":[""request_statistics_or_data""],""entities"":[{""name"":""Health Service Executive (HSE)"",""type"":""organisation"",""evidence_quote"":""the Health Service Executive (HSE)""},{""name"":""CHO"",""type"":""public_body"",""evidence_quote"":""in each CHO""}],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""disability_services"",""evidence_quote"":""assessments of needs""},{""tag"":""waiting_lists"",""evidence_quote"":""current average waiting period""},{""tag"":""child_health"",""evidence_quote"":""assessments of needs""}]}],""answer"":{""topic_tags"":[""health"",""disability_services"",""waiting_lists"",""child_health"",""government_public_service"",""public_service_delivery""],""answer_characteristics"":[""referred_to_another_body"",""direct_reply_promised_by_another_body"",""no_substantive_answer""],""entities"":[{""name"":""Health Service Executive (HSE)"",""type"":""organisation"",""evidence_quote"":""I have asked the Health Service Executive (HSE) to respond""}],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""disability_services"",""evidence_quote"":""this question refers to service matters""},{""tag"":""public_service_delivery"",""evidence_quote"":""to respond to the Deputy directly""}]},""combined_exchange"":{""topic_tags"":[""health"",""disability_services"",""waiting_lists"",""child_health"",""government_public_service"",""public_service_delivery""],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""disability_services"",""evidence_quote"":""assessments of needs""},{""tag"":""waiting_lists"",""evidence_quote"":""current average waiting period""},{""tag"":""waiting_lists"",""evidence_quote"":""national average waiting periods""},{""tag"":""public_service_delivery"",""evidence_quote"":""asked the Health Service Executive (HSE) to respond""}]}}",,5248,554,5802
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-11/writtens/dbsect_155,2025-02-11,Transport,1,1520,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-02-11/pq_147"",""topic_tags"":[""transport"",""public_transport""],""question_intents"":[""request_policy_position"",""request_action_or_intervention""],""entities"":[{""name"":""National Transport Authority"",""type"":""public_body"",""evidence_quote"":""The National Transport Authority (NTA) has responsibility for the regulation of fares""},{""name"":""Public Service Obligation services"",""type"":""programme_scheme"",""evidence_quote"":""public transport services provided under public service obligation (PSO) contracts""},{""name"":""Young Adult Card"",""type"":""programme_scheme"",""evidence_quote"":""the Young Adult Card""},{""name"":""BusConnects"",""type"":""policy_initiative"",""evidence_quote"":""programmes such as BusConnects""}],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""public_transport"",""evidence_quote"":""reduce public transport fees""}]}],""answer"":{""topic_tags"":[""transport"",""public_transport"",""budget"",""public_spending""],""answer_characteristics"":[""factual_information_supplied"",""funding_or_cost_figures_supplied"",""policy_explanation"",""implementation_status_update"",""future_action_or_commitment"",""referred_to_another_body"",""direct_reply_promised_by_another_body""],""entities"":[{""name"":""National Transport Authority"",""type"":""public_body"",""evidence_quote"":""I have forwarded the Deputy's question to the Authority for direct reply""},{""name"":""Public Service Obligation services"",""type"":""programme_scheme"",""evidence_quote"":""20% fare reduction on PSO services""},{""name"":""Young Adult Card"",""type"":""programme_scheme"",""evidence_quote"":""the Young Adult Card""},{""name"":""90-minute fare"",""type"":""programme_scheme"",""evidence_quote"":""the 90-minute fare until the end of 2025""},{""name"":""BusConnects"",""type"":""policy_initiative"",""evidence_quote"":""programmes such as BusConnects""},{""name"":""Connecting Ireland"",""type"":""policy_initiative"",""evidence_quote"":""Connecting Ireland""}],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""public_transport"",""evidence_quote"":""public transport plays a key role""},{""tag"":""budget"",""evidence_quote"":""in Budget 2025""},{""tag"":""public_spending"",""evidence_quote"":""€658.442 million of funding""}]},""combined_exchange"":{""topic_tags"":[""transport"",""public_transport"",""budget"",""public_spending""],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""public_transport"",""evidence_quote"":""reduce public transport fees""},{""tag"":""budget"",""evidence_quote"":""in Budget 2025""},{""tag"":""public_spending"",""evidence_quote"":""€658.442 million of funding""}]}}",,5493,1088,6581
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-12/writtens/dbsect_275,2025-02-12,Health,1,630,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-02-12/pq_277"",""topic_tags"":[""health"",""hospitals"",""waiting_lists""],""question_intents"":[""request_statistics_or_data""],""entities"":[{""name"":""Cork University Hospital"",""type"":""place"",""evidence_quote"":""Cork University Hospital""},{""name"":""National Treatment Purchase Fund"",""type"":""public_body"",""evidence_quote"":""National Treatment Purchase Fund (NTPF)""},{""name"":""Health Service Executive"",""type"":""public_body"",""evidence_quote"":""Health Service Executive""}],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""waiting_lists"",""evidence_quote"":""the number of persons on the waiting list""},{""tag"":""hospitals"",""evidence_quote"":""at Cork University Hospital""},{""tag"":""health"",""evidence_quote"":""consultant ENT surgeon""}]}],""answer"":{""topic_tags"":[""health"",""hospitals"",""waiting_lists"",""government_public_service"",""public_service_delivery""],""answer_characteristics"":[""factual_information_supplied"",""implementation_status_update"",""information_not_held_or_unavailable"",""referred_to_another_body"",""direct_reply_promised_by_another_body""],""entities"":[{""name"":""National Treatment Purchase Fund"",""type"":""public_body"",""evidence_quote"":""published monthly by the National Treatment Purchase Fund""},{""name"":""Health Service Executive"",""type"":""public_body"",""evidence_quote"":""I have asked the Health Service Executive to respond""}],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""waiting_lists"",""evidence_quote"":""Adult and child waiting list information by hospital and specialty is published monthly""},{""tag"":""hospitals"",""evidence_quote"":""by hospital and specialty""},{""tag"":""public_service_delivery"",""evidence_quote"":""as this level of detail is not routinely published and is a service matter""}]},""combined_exchange"":{""topic_tags"":[""health"",""hospitals"",""waiting_lists"",""government_public_service"",""public_service_delivery""],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""waiting_lists"",""evidence_quote"":""the number of persons on the waiting list""},{""tag"":""hospitals"",""evidence_quote"":""at Cork University Hospital""},{""tag"":""public_service_delivery"",""evidence_quote"":""I have asked the Health Service Executive to respond to the Deputy directly""}]}}",,5305,552,5857
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-18/writtens/dbsect_448,2025-02-18,Justice,1,188,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-02-18/pq_564"",""topic_tags"":[""immigration_asylum"",""public_service_staffing"",""skills_training""],""question_intents"":[""request_statistics_or_data"",""request_staffing_or_capacity"",""request_funding_or_cost""],""entities"":[{""name"":""International Protection Appeals Tribunal"",""type"":""public_body"",""evidence_quote"":""International Protection Appeals Tribunal""}],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""immigration_asylum"",""evidence_quote"":""International Protection Appeals Tribunal""},{""tag"":""public_service_staffing"",""evidence_quote"":""the number of additional staff were hired""},{""tag"":""skills_training"",""evidence_quote"":""the average cost of training a new staff member""}]}],""answer"":{""topic_tags"":[""immigration_asylum"",""public_service_staffing""],""answer_characteristics"":[""information_not_held_or_unavailable"",""direct_reply_promised_by_another_body""],""entities"":[{""name"":""Minister for Justice"",""type"":""organisation"",""evidence_quote"":""Minister for Justice""},{""name"":""Deputy"",""type"":""other"",""evidence_quote"":""I will write to the Deputy directly""}],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""immigration_asylum"",""evidence_quote"":""information requested by the Deputy""},{""tag"":""public_service_staffing"",""evidence_quote"":""information requested by the Deputy""}]},""combined_exchange"":{""topic_tags"":[""immigration_asylum"",""public_service_staffing"",""skills_training""],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""immigration_asylum"",""evidence_quote"":""International Protection Appeals Tribunal""},{""tag"":""public_service_staffing"",""evidence_quote"":""the number of additional staff were hired""},{""tag"":""skills_training"",""evidence_quote"":""the average cost of training a new staff member""}]}}",,5245,463,5708
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-18/writtens/dbsect_727,2025-02-18,Further and Higher Education,3,2280,"{""questions"":[{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-02-18/pq_849"",""topic_tags"":[""further_education_training"",""skills_training""],""question_intents"":[""request_statistics_or_data""],""entities"":[{""name"":""apprenticeship programmes"",""type"":""programme_scheme"",""evidence_quote"":""number of apprenticeship completions""}],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""further_education_training"",""evidence_quote"":""apprenticeship completions, by type""},{""tag"":""skills_training"",""evidence_quote"":""apprenticeship completions""}]},{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-02-18/pq_850"",""topic_tags"":[""further_education_training"",""skills_training""],""question_intents"":[""request_statistics_or_data""],""entities"":[{""name"":""apprenticeship programmes"",""type"":""programme_scheme"",""evidence_quote"":""number of apprenticeship dropouts""}],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""further_education_training"",""evidence_quote"":""apprenticeship dropouts, by level of completion and by type""},{""tag"":""skills_training"",""evidence_quote"":""apprenticeship dropouts""}]},{""question_id"":""https://data.oireachtas.ie/ie/oireachtas/question/2025-02-18/pq_851"",""topic_tags"":[""further_education_training"",""skills_training""],""question_intents"":[""request_statistics_or_data""],""entities"":[{""name"":""apprenticeship programmes"",""type"":""programme_scheme"",""evidence_quote"":""wait time to be admitted to an apprenticeship""},{""name"":""SOLAS"",""type"":""organisation"",""evidence_quote"":""by college and by apprenticeship type""}],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""further_education_training"",""evidence_quote"":""admitted to an apprenticeship, by college""},{""tag"":""skills_training"",""evidence_quote"":""by apprenticeship type""}]}],""answer"":{""topic_tags"":[""further_education_training"",""skills_training"",""education_funding""],""answer_characteristics"":[""factual_information_supplied"",""statistics_or_figures_supplied"",""funding_or_cost_figures_supplied"",""policy_position_stated"",""policy_explanation"",""implementation_status_update"",""future_action_or_commitment""],""entities"":[{""name"":""SOLAS"",""type"":""organisation"",""evidence_quote"":""SOLAS schedule an apprentice's off-the-job training""},{""name"":""National Apprenticeship Office"",""type"":""public_body"",""evidence_quote"":""SOLAS/the National Apprenticeship Office (NAO)""},{""name"":""Education and Training Boards"",""type"":""public_body"",""evidence_quote"":""issued by each Education and Training Board (ETB)""},{""name"":""Budget 2024"",""type"":""named_fund"",""evidence_quote"":""€67m in Budget 2024""},{""name"":""Budget 2025"",""type"":""named_fund"",""evidence_quote"":""€77m in Budget 2025""}],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""further_education_training"",""evidence_quote"":""Apprenticeships are national programmes.""},{""tag"":""skills_training"",""evidence_quote"":""sufficient training capacity to meet skills needs""},{""tag"":""education_funding"",""evidence_quote"":""Significant investments of €67m in Budget 2024 and €77m in Budget 2025""}]},""combined_exchange"":{""topic_tags"":[""further_education_training"",""skills_training"",""education_funding""],""proposed_new_tags"":[],""topic_evidence"":[{""tag"":""further_education_training"",""evidence_quote"":""number of apprenticeship completions""},{""tag"":""skills_training"",""evidence_quote"":""apprenticeship dropouts""},{""tag"":""education_funding"",""evidence_quote"":""Significant investments of €67m in Budget 2024 and €77m in Budget 2025""}]}}",,5862,1042,6904
