date,date_start,date_end,pollster,sample_size,SF,FG,FF,LAB,SD,GP,SPBP,AU,II,IND_OTH_IT
2026-02-01,2026-01-27,2026-01-31,Ireland Thinks,1002,19,22,18,4,5,3,3,6,2,18
2026-03-01,2026-02-24,2026-02-28,Ireland Thinks,1008,20,21,18,4,5,3,3,6,2,18
2026-04-01,2026-03-27,2026-03-31,Ireland Thinks,1011,20,21,17,4,5,3,3,7,2,18
2026-04-20,2026-04-15,2026-04-19,Red C,1005,18,23,19,4,5,3,3,6,2,17
2026-05-01,2026-04-26,2026-04-30,Ireland Thinks,1015,21,20,17,4,5,3,3,7,2,18
2026-06-01,2026-05-27,2026-05-31,Ireland Thinks,1009,20,21,17,4,5,3,3,7,3,17
2026-06-30,2026-06-25,2026-06-29,Ireland Thinks,1000,20,21,17,4,5,3,3,7,3,17
2026-07-15,2026-07-10,2026-07-14,Ireland Thinks,1012,21,20,17,4,6,3,3,7,3,16
2026-07-20,2026-07-14,2026-07-19,Red C,1005,19,22,18,4,5,3,3,6,2,18
2026-07-31,2026-07-26,2026-07-30,Ireland Thinks,1044,22,19,18,4,6,3,3,8,3,14
