party,party_key,slide,path,dimensions_ok,status
100% RDR,100-rdr,1,parties/100-rdr/slides/01_cover.png,True,PASS
100% RDR,100-rdr,2,parties/100-rdr/slides/02_most_discussed_issues.png,True,PASS
100% RDR,100-rdr,3,parties/100-rdr/slides/03_more_than_average.png,True,PASS
100% RDR,100-rdr,4,parties/100-rdr/slides/04_more_per_td.png,True,PASS
100% RDR,100-rdr,5,parties/100-rdr/slides/05_glossary.png,True,PASS
Aontú,aontu,1,parties/aontu/slides/01_cover.png,True,PASS
Aontú,aontu,2,parties/aontu/slides/02_most_discussed_issues.png,True,PASS
Aontú,aontu,3,parties/aontu/slides/03_more_than_average.png,True,PASS
Aontú,aontu,4,parties/aontu/slides/04_more_per_td.png,True,PASS
Aontú,aontu,5,parties/aontu/slides/05_glossary.png,True,PASS
Fianna Fáil,fianna-fail,1,parties/fianna-fail/slides/01_cover.png,True,PASS
Fianna Fáil,fianna-fail,2,parties/fianna-fail/slides/02_most_discussed_issues.png,True,PASS
Fianna Fáil,fianna-fail,3,parties/fianna-fail/slides/03_more_than_average.png,True,PASS
Fianna Fáil,fianna-fail,4,parties/fianna-fail/slides/04_more_per_td.png,True,PASS
Fianna Fáil,fianna-fail,5,parties/fianna-fail/slides/05_glossary.png,True,PASS
Fine Gael,fine-gael,1,parties/fine-gael/slides/01_cover.png,True,PASS
Fine Gael,fine-gael,2,parties/fine-gael/slides/02_most_discussed_issues.png,True,PASS
Fine Gael,fine-gael,3,parties/fine-gael/slides/03_more_than_average.png,True,PASS
Fine Gael,fine-gael,4,parties/fine-gael/slides/04_more_per_td.png,True,PASS
Fine Gael,fine-gael,5,parties/fine-gael/slides/05_glossary.png,True,PASS
Green Party,green-party,1,parties/green-party/slides/01_cover.png,True,PASS
Green Party,green-party,2,parties/green-party/slides/02_most_discussed_issues.png,True,PASS
Green Party,green-party,3,parties/green-party/slides/03_more_than_average.png,True,PASS
Green Party,green-party,4,parties/green-party/slides/04_more_per_td.png,True,PASS
Green Party,green-party,5,parties/green-party/slides/05_glossary.png,True,PASS
Independent,independent,1,parties/independent/slides/01_cover.png,True,PASS
Independent,independent,2,parties/independent/slides/02_most_discussed_issues.png,True,PASS
Independent,independent,3,parties/independent/slides/03_more_than_average.png,True,PASS
Independent,independent,4,parties/independent/slides/04_more_per_td.png,True,PASS
Independent,independent,5,parties/independent/slides/05_glossary.png,True,PASS
Independent Ireland,independent-ireland,1,parties/independent-ireland/slides/01_cover.png,True,PASS
Independent Ireland,independent-ireland,2,parties/independent-ireland/slides/02_most_discussed_issues.png,True,PASS
Independent Ireland,independent-ireland,3,parties/independent-ireland/slides/03_more_than_average.png,True,PASS
Independent Ireland,independent-ireland,4,parties/independent-ireland/slides/04_more_per_td.png,True,PASS
Independent Ireland,independent-ireland,5,parties/independent-ireland/slides/05_glossary.png,True,PASS
Labour Party,labour-party,1,parties/labour-party/slides/01_cover.png,True,PASS
Labour Party,labour-party,2,parties/labour-party/slides/02_most_discussed_issues.png,True,PASS
Labour Party,labour-party,3,parties/labour-party/slides/03_more_than_average.png,True,PASS
Labour Party,labour-party,4,parties/labour-party/slides/04_more_per_td.png,True,PASS
Labour Party,labour-party,5,parties/labour-party/slides/05_glossary.png,True,PASS
People Before Profit-Solidarity,people-before-profit-solidarity,1,parties/people-before-profit-solidarity/slides/01_cover.png,True,PASS
People Before Profit-Solidarity,people-before-profit-solidarity,2,parties/people-before-profit-solidarity/slides/02_most_discussed_issues.png,True,PASS
People Before Profit-Solidarity,people-before-profit-solidarity,3,parties/people-before-profit-solidarity/slides/03_more_than_average.png,True,PASS
People Before Profit-Solidarity,people-before-profit-solidarity,4,parties/people-before-profit-solidarity/slides/04_more_per_td.png,True,PASS
People Before Profit-Solidarity,people-before-profit-solidarity,5,parties/people-before-profit-solidarity/slides/05_glossary.png,True,PASS
Sinn Féin,sinn-fein,1,parties/sinn-fein/slides/01_cover.png,True,PASS
Sinn Féin,sinn-fein,2,parties/sinn-fein/slides/02_most_discussed_issues.png,True,PASS
Sinn Féin,sinn-fein,3,parties/sinn-fein/slides/03_more_than_average.png,True,PASS
Sinn Féin,sinn-fein,4,parties/sinn-fein/slides/04_more_per_td.png,True,PASS
Sinn Féin,sinn-fein,5,parties/sinn-fein/slides/05_glossary.png,True,PASS
Social Democrats,social-democrats,1,parties/social-democrats/slides/01_cover.png,True,PASS
Social Democrats,social-democrats,2,parties/social-democrats/slides/02_most_discussed_issues.png,True,PASS
Social Democrats,social-democrats,3,parties/social-democrats/slides/03_more_than_average.png,True,PASS
Social Democrats,social-democrats,4,parties/social-democrats/slides/04_more_per_td.png,True,PASS
Social Democrats,social-democrats,5,parties/social-democrats/slides/05_glossary.png,True,PASS
