asset_registry_ok,canonical_asset_uri_ok,cover_title_ok,dimensions_ok,empty_state_truthful,glossary_present,logo_border_ok,logo_centered_ok,logo_size_ok,logo_top_ok,min_visual_rows_ok,no_category_clipping,no_label_truncation,no_value_clipping,party,party_key,path,short_chart_bar_thickness_ok,short_chart_virtual_rows_ok,slide,status,title_ok,value_format_ok
True,True,True,True,,,True,True,True,True,,,,,100% RDR,100-rdr,/home/runner/work/eirepolitic-data-pipeline/eirepolitic-data-pipeline/instagram/production/output/party_issue_monthly_profile_v2/period=2026-07/parties/100-rdr/slides/01_cover.png,,,1,PASS,,
,,,True,True,,,,,,True,True,True,True,100% RDR,100-rdr,/home/runner/work/eirepolitic-data-pipeline/eirepolitic-data-pipeline/instagram/production/output/party_issue_monthly_profile_v2/period=2026-07/parties/100-rdr/slides/02_most_discussed_issues.png,True,True,2,PASS,True,True
,,,True,True,,,,,,True,True,True,True,100% RDR,100-rdr,/home/runner/work/eirepolitic-data-pipeline/eirepolitic-data-pipeline/instagram/production/output/party_issue_monthly_profile_v2/period=2026-07/parties/100-rdr/slides/03_more_than_average.png,True,True,3,PASS,True,True
,,,True,True,,,,,,True,True,True,True,100% RDR,100-rdr,/home/runner/work/eirepolitic-data-pipeline/eirepolitic-data-pipeline/instagram/production/output/party_issue_monthly_profile_v2/period=2026-07/parties/100-rdr/slides/04_more_per_td.png,True,True,4,PASS,True,True
,,,True,,True,,,,,,,,,100% RDR,100-rdr,/home/runner/work/eirepolitic-data-pipeline/eirepolitic-data-pipeline/instagram/production/output/party_issue_monthly_profile_v2/period=2026-07/parties/100-rdr/slides/05_glossary.png,,,5,PASS,,
True,True,True,True,,,True,True,True,True,,,,,Aontú,aontu,/home/runner/work/eirepolitic-data-pipeline/eirepolitic-data-pipeline/instagram/production/output/party_issue_monthly_profile_v2/period=2026-07/parties/aontu/slides/01_cover.png,,,1,PASS,,
,,,True,True,,,,,,True,True,True,True,Aontú,aontu,/home/runner/work/eirepolitic-data-pipeline/eirepolitic-data-pipeline/instagram/production/output/party_issue_monthly_profile_v2/period=2026-07/parties/aontu/slides/02_most_discussed_issues.png,True,True,2,PASS,True,True
,,,True,True,,,,,,True,True,True,True,Aontú,aontu,/home/runner/work/eirepolitic-data-pipeline/eirepolitic-data-pipeline/instagram/production/output/party_issue_monthly_profile_v2/period=2026-07/parties/aontu/slides/03_more_than_average.png,True,True,3,PASS,True,True
,,,True,True,,,,,,True,True,True,True,Aontú,aontu,/home/runner/work/eirepolitic-data-pipeline/eirepolitic-data-pipeline/instagram/production/output/party_issue_monthly_profile_v2/period=2026-07/parties/aontu/slides/04_more_per_td.png,True,True,4,PASS,True,True
,,,True,,True,,,,,,,,,Aontú,aontu,/home/runner/work/eirepolitic-data-pipeline/eirepolitic-data-pipeline/instagram/production/output/party_issue_monthly_profile_v2/period=2026-07/parties/aontu/slides/05_glossary.png,,,5,PASS,,
True,True,True,True,,,True,True,True,True,,,,,Fianna Fáil,fianna-fail,/home/runner/work/eirepolitic-data-pipeline/eirepolitic-data-pipeline/instagram/production/output/party_issue_monthly_profile_v2/period=2026-07/parties/fianna-fail/slides/01_cover.png,,,1,PASS,,
