run_id,workflow_run_id,table_name,mode,cadence,started_at_utc,finished_at_utc,status,input_params_json,raw_rows,output_rows,error_message,manifest_s3_key
gold_content_fact_pool_20260705T022703Z,,gold_content_fact_pool,incremental,weekly,2026-07-05T02:27:03+00:00,2026-07-05T02:27:04+00:00,success,"{""input_keys"":{""constituency_yearly"":""processed/oireachtas_unified/latest/csv/gold_constituency_activity_yearly.csv"",""current_members"":""processed/oireachtas_unified/latest/csv/gold_current_members.csv"",""member_monthly"":""processed/oireachtas_unified/latest/csv/gold_member_activity_monthly.csv"",""member_yearly"":""processed/oireachtas_unified/latest/csv/gold_member_activity_yearly.csv""},""snapshot_date"":""2026-07-05""}",460,250,,processed/oireachtas_unified/manifests/gold_content_fact_pool/run_id=gold_content_fact_pool_20260705T022703Z.json
gold_constituency_activity_yearly_20260705T022701Z,,gold_constituency_activity_yearly,incremental,monthly,2026-07-05T02:27:01+00:00,2026-07-05T02:27:02+00:00,success,"{""input_keys"":{""current_members"":""processed/oireachtas_unified/latest/csv/gold_current_members.csv"",""member_votes"":""processed/oireachtas_unified/latest/csv/silver_member_votes.csv"",""speeches"":""processed/oireachtas_unified/latest/csv/silver_speeches.csv""},""snapshot_date"":""2026-07-05""}",33966,86,,processed/oireachtas_unified/manifests/gold_constituency_activity_yearly/run_id=gold_constituency_activity_yearly_20260705T022701Z.json
silver_bill_events_20260705T022659Z,,silver_bill_events,incremental,monthly,2026-07-05T02:26:59+00:00,2026-07-05T02:27:00+00:00,success,"{""snapshot_date"":""2026-07-05""}",43,48,,processed/oireachtas_unified/manifests/silver_bill_events/run_id=silver_bill_events_20260705T022659Z.json
silver_bill_debates_20260705T022657Z,,silver_bill_debates,incremental,monthly,2026-07-05T02:26:57+00:00,2026-07-05T02:26:58+00:00,success,"{""snapshot_date"":""2026-07-05""}",43,174,,processed/oireachtas_unified/manifests/silver_bill_debates/run_id=silver_bill_debates_20260705T022657Z.json
silver_bill_sponsors_20260705T022656Z,,silver_bill_sponsors,incremental,monthly,2026-07-05T02:26:56+00:00,2026-07-05T02:26:56+00:00,success,"{""snapshot_date"":""2026-07-05""}",43,60,,processed/oireachtas_unified/manifests/silver_bill_sponsors/run_id=silver_bill_sponsors_20260705T022656Z.json
silver_bill_related_docs_20260705T022654Z,,silver_bill_related_docs,incremental,monthly,2026-07-05T02:26:54+00:00,2026-07-05T02:26:54+00:00,success,"{""snapshot_date"":""2026-07-05""}",43,50,,processed/oireachtas_unified/manifests/silver_bill_related_docs/run_id=silver_bill_related_docs_20260705T022654Z.json
silver_bill_stages_20260705T022652Z,,silver_bill_stages,incremental,monthly,2026-07-05T02:26:52+00:00,2026-07-05T02:26:52+00:00,success,"{""snapshot_date"":""2026-07-05""}",43,214,,processed/oireachtas_unified/manifests/silver_bill_stages/run_id=silver_bill_stages_20260705T022652Z.json
silver_bill_versions_20260705T022650Z,,silver_bill_versions,incremental,monthly,2026-07-05T02:26:50+00:00,2026-07-05T02:26:50+00:00,success,"{""snapshot_date"":""2026-07-05""}",43,61,,processed/oireachtas_unified/manifests/silver_bill_versions/run_id=silver_bill_versions_20260705T022650Z.json
silver_bills_20260705T022648Z,,silver_bills,incremental,monthly,2026-07-05T02:26:48+00:00,2026-07-05T02:26:48+00:00,success,"{""snapshot_date"":""2026-07-05""}",43,43,,processed/oireachtas_unified/manifests/silver_bills/run_id=silver_bills_20260705T022648Z.json
silver_source_files_20260705T022645Z,,silver_source_files,incremental,follows_parent,2026-07-05T02:26:45+00:00,2026-07-05T02:26:46+00:00,success,"{""snapshot_date"":""2026-07-05""}",,265,,processed/oireachtas_unified/manifests/silver_source_files/run_id=silver_source_files_20260705T022645Z.json
