member_code,full_name,party_name,constituency_name,house_no,office_name,snapshot_date
Ciarán-Ahern.D.2024-11-29,Ciarán Ahern,Labour Party,Dublin South-West,34,,2026-06-30
William-Aird.D.2024-11-29,William Aird,Fine Gael,Laois,34,,2026-06-30
Catherine-Ardagh.S.2016-04-25,Catherine Ardagh,Fianna Fáil,Dublin South-Central,34,"Minister of State at the Department of Justice, Home Affairs and Migration",2026-06-30
Ivana-Bacik.S.2007-07-23,Ivana Bacik,Labour Party,Dublin Bay South,34,,2026-06-30
Cathy-Bennett.D.2024-11-29,Cathy Bennett,Sinn Féin,Cavan-Monaghan,34,,2026-06-30
Grace-Boland.D.2024-11-29,Grace Boland,Fine Gael,Dublin Fingal West,34,,2026-06-30
Richard-Boyd-Barrett.D.2011-03-09,Richard Boyd Barrett,People Before Profit-Solidarity,Dún Laoghaire,34,,2026-06-30
Tom-Brabazon.D.2024-11-29,Tom Brabazon,Fianna Fáil,Dublin Bay North,34,,2026-06-30
John-Brady.D.2016-10-03,John Brady,Sinn Féin,Wicklow,34,,2026-06-30
Brian-Brennan.D.2024-11-29,Brian Brennan,Fine Gael,Wicklow-Wexford,34,,2026-06-30
