member_code,year_month,speech_count,debate_day_count,votes_cast_count,snapshot_date
Micheál-Martin.D.1989-06-29,2026-06,170,3,11,2026-07-12
Verona-Murphy.D.2020-02-08,2026-06,129,5,0,2026-07-12
Simon-Harris.D.2011-03-09,2026-06,127,2,2,2026-07-12
Pearse-Doherty.S.2007-07-23,2026-06,69,5,28,2026-07-12
John-McGuinness.D.1997-06-26,2026-06,65,5,11,2026-07-12
Darragh-O'Brien.D.2007-06-14,2026-06,51,3,32,2026-07-12
Dara-Calleary.D.2007-06-14,2026-06,40,1,38,2026-07-12
Paul-Murphy.D.2014-10-10,2026-06,38,5,35,2026-07-12
Jerry-Buttimer.S.2007-07-23,2026-06,37,3,39,2026-07-12
Norma-Foley.D.2020-02-08,2026-06,35,3,37,2026-07-12
