review_id,dataset_name,side,member_code,full_name,party,constituency,source_hint,legacy_key,unified_key,other_side_present
member_profile_metrics:trial_only:Aengus-Ó-Snodaigh.D.2002-06-06,member_profile_metrics,trial_only,Aengus-Ó-Snodaigh.D.2002-06-06,Aengus Ó Snodaigh,Sinn Féin,Dublin South-Central,,missing,present,False
member_profile_metrics:trial_only:Aindrias-Moynihan.D.2016-10-03,member_profile_metrics,trial_only,Aindrias-Moynihan.D.2016-10-03,Aindrias Moynihan,Fianna Fáil,Cork North-West,,missing,present,False
member_profile_metrics:trial_only:Barry-Ward.S.2020-03-30,member_profile_metrics,trial_only,Barry-Ward.S.2020-03-30,Barry Ward,Fine Gael,Dún Laoghaire,,missing,present,False
member_profile_metrics:trial_only:Brendan-Smith.D.1992-12-14,member_profile_metrics,trial_only,Brendan-Smith.D.1992-12-14,Brendan Smith,Fianna Fáil,Cavan-Monaghan,,missing,present,False
member_profile_metrics:trial_only:Brian-Stanley.D.2011-03-09,member_profile_metrics,trial_only,Brian-Stanley.D.2011-03-09,Brian Stanley,Independent,Laois,,missing,present,False
member_profile_metrics:trial_only:Carol-Nolan.D.2016-10-03,member_profile_metrics,trial_only,Carol-Nolan.D.2016-10-03,Carol Nolan,Independent,Offaly,,missing,present,False
member_profile_metrics:trial_only:Charles-Ward.D.2024-11-29,member_profile_metrics,trial_only,Charles-Ward.D.2024-11-29,Charles Ward,100% RDR,Donegal,,missing,present,False
member_profile_metrics:trial_only:Charlie-McConalogue.D.2011-03-09,member_profile_metrics,trial_only,Charlie-McConalogue.D.2011-03-09,Charlie McConalogue,Fianna Fáil,Donegal,,missing,present,False
member_profile_metrics:trial_only:Christopher-O'Sullivan.D.2020-02-08,member_profile_metrics,trial_only,Christopher-O'Sullivan.D.2020-02-08,Christopher O'Sullivan,Fianna Fáil,Cork South-West,,missing,present,False
member_profile_metrics:trial_only:Cian-O'Callaghan.D.2020-02-08,member_profile_metrics,trial_only,Cian-O'Callaghan.D.2020-02-08,Cian O'Callaghan,Social Democrats,Dublin Bay North,,missing,present,False
member_profile_metrics:trial_only:Conor-D-McGuinness.D.2024-11-29,member_profile_metrics,trial_only,Conor-D-McGuinness.D.2024-11-29,Conor D McGuinness,Sinn Féin,Waterford,,missing,present,False
member_profile_metrics:trial_only:Conor-Sheehan.D.2024-11-29,member_profile_metrics,trial_only,Conor-Sheehan.D.2024-11-29,Conor Sheehan,Labour Party,Limerick City,,missing,present,False
member_profile_metrics:trial_only:Darragh-O'Brien.D.2007-06-14,member_profile_metrics,trial_only,Darragh-O'Brien.D.2007-06-14,Darragh O'Brien,Fianna Fáil,Dublin Fingal East,,missing,present,False
member_profile_metrics:trial_only:Darren-O'Rourke.D.2020-02-08,member_profile_metrics,trial_only,Darren-O'Rourke.D.2020-02-08,Darren O'Rourke,Sinn Féin,Meath East,,missing,present,False
member_profile_metrics:trial_only:Denise-Mitchell.D.2016-10-03,member_profile_metrics,trial_only,Denise-Mitchell.D.2016-10-03,Denise Mitchell,Sinn Féin,Dublin Bay North,,missing,present,False
member_profile_metrics:trial_only:Donna-McGettigan.D.2024-11-29,member_profile_metrics,trial_only,Donna-McGettigan.D.2024-11-29,Donna McGettigan,Sinn Féin,Clare,,missing,present,False
member_profile_metrics:trial_only:Donnchadh-Ó-Laoghaire.D.2016-10-03,member_profile_metrics,trial_only,Donnchadh-Ó-Laoghaire.D.2016-10-03,Donnchadh Ó Laoghaire,Sinn Féin,Cork South-Central,,missing,present,False
member_profile_metrics:trial_only:Duncan-Smith.D.2020-02-08,member_profile_metrics,trial_only,Duncan-Smith.D.2020-02-08,Duncan Smith,Labour Party,Dublin Fingal East,,missing,present,False
member_profile_metrics:trial_only:Eamon-Scanlon.S.2002-09-12,member_profile_metrics,trial_only,Eamon-Scanlon.S.2002-09-12,Eamon Scanlon,Fianna Fáil,Sligo-Leitrim,,missing,present,False
member_profile_metrics:trial_only:Edward-Timmins.D.2024-11-29,member_profile_metrics,trial_only,Edward-Timmins.D.2024-11-29,Edward Timmins,Fine Gael,Wicklow,,missing,present,False
member_profile_metrics:trial_only:Eoin-Ó-Broin.D.2016-10-03,member_profile_metrics,trial_only,Eoin-Ó-Broin.D.2016-10-03,Eoin Ó Broin,Sinn Féin,Dublin Mid-West,,missing,present,False
member_profile_metrics:trial_only:Erin-McGreehan.S.2020-06-29,member_profile_metrics,trial_only,Erin-McGreehan.S.2020-06-29,Erin McGreehan,Fianna Fáil,Louth,,missing,present,False
member_profile_metrics:trial_only:Fionntán-Ó-Súilleabháin.D.2024-11-29,member_profile_metrics,trial_only,Fionntán-Ó-Súilleabháin.D.2024-11-29,Fionntán Ó Súilleabháin,Sinn Féin,Wicklow-Wexford,,missing,present,False
member_profile_metrics:trial_only:Gerald-Nash.D.2011-03-09,member_profile_metrics,trial_only,Gerald-Nash.D.2011-03-09,Ged Nash,Labour Party,Louth,,missing,present,False
member_profile_metrics:trial_only:Gillian-Toole.D.2024-11-29,member_profile_metrics,trial_only,Gillian-Toole.D.2024-11-29,Gillian Toole,Independent,Meath East,,missing,present,False
member_profile_metrics:trial_only:Helen-McEntee.D.2013-03-27,member_profile_metrics,trial_only,Helen-McEntee.D.2013-03-27,Helen McEntee,Fine Gael,Meath East,,missing,present,False
member_profile_metrics:trial_only:Hildegarde-Naughton.S.2013-07-19,member_profile_metrics,trial_only,Hildegarde-Naughton.S.2013-07-19,Hildegarde Naughton,Fine Gael,Galway West,,missing,present,False
member_profile_metrics:trial_only:James-O'Connor.D.2020-02-08,member_profile_metrics,trial_only,James-O'Connor.D.2020-02-08,James O'Connor,Fianna Fáil,Cork East,,missing,present,False
member_profile_metrics:trial_only:Jennifer-Murnane-O'Connor.S.2016-04-25,member_profile_metrics,trial_only,Jennifer-Murnane-O'Connor.S.2016-04-25,Jennifer Murnane O'Connor,Fianna Fáil,Carlow-Kilkenny,,missing,present,False
member_profile_metrics:trial_only:Jennifer-Whitmore.D.2020-02-08,member_profile_metrics,trial_only,Jennifer-Whitmore.D.2020-02-08,Jennifer Whitmore,Social Democrats,Wicklow,,missing,present,False
member_profile_metrics:trial_only:Jim-O'Callaghan.D.2016-10-03,member_profile_metrics,trial_only,Jim-O'Callaghan.D.2016-10-03,Jim O'Callaghan,Fianna Fáil,Dublin Bay South,,missing,present,False
member_profile_metrics:trial_only:Joe-Neville.D.2024-11-29,member_profile_metrics,trial_only,Joe-Neville.D.2024-11-29,Joe Neville,Fine Gael,Kildare North,,missing,present,False
member_profile_metrics:trial_only:John-McGuinness.D.1997-06-26,member_profile_metrics,trial_only,John-McGuinness.D.1997-06-26,John McGuinness,Fianna Fáil,Carlow-Kilkenny,,missing,present,False
member_profile_metrics:trial_only:John-Paul-O'Shea.D.2024-11-29,member_profile_metrics,trial_only,John-Paul-O'Shea.D.2024-11-29,John Paul O'Shea,Fine Gael,Cork North-West,,missing,present,False
member_profile_metrics:trial_only:Johnny-Mythen.D.2020-02-08,member_profile_metrics,trial_only,Johnny-Mythen.D.2020-02-08,Johnny Mythen,Sinn Féin,Wexford,,missing,present,False
member_profile_metrics:trial_only:Ken-O'Flynn.D.2024-11-29,member_profile_metrics,trial_only,Ken-O'Flynn.D.2024-11-29,Ken O'Flynn,Independent Ireland,Cork North-Central,,missing,present,False
member_profile_metrics:trial_only:Kevin-Boxer-Moran.D.2016-10-03,member_profile_metrics,trial_only,Kevin-Boxer-Moran.D.2016-10-03,Kevin Boxer Moran,Independent,Longford-Westmeath,,missing,present,False
member_profile_metrics:trial_only:Kieran-O'Donnell.D.2007-06-14,member_profile_metrics,trial_only,Kieran-O'Donnell.D.2007-06-14,Kieran O'Donnell,Fine Gael,Limerick City,,missing,present,False
member_profile_metrics:trial_only:Liam-Quaide.D.2024-11-29,member_profile_metrics,trial_only,Liam-Quaide.D.2024-11-29,Liam Quaide,Social Democrats,Cork East,,missing,present,False
member_profile_metrics:trial_only:Louis-O'Hara.D.2024-11-29,member_profile_metrics,trial_only,Louis-O'Hara.D.2024-11-29,Louis O'Hara,Sinn Féin,Galway East,,missing,present,False
member_profile_metrics:trial_only:Louise-O'Reilly.D.2016-10-03,member_profile_metrics,trial_only,Louise-O'Reilly.D.2016-10-03,Louise O'Reilly,Sinn Féin,Dublin Fingal West,,missing,present,False
member_profile_metrics:trial_only:Maeve-O'Connell.D.2024-11-29,member_profile_metrics,trial_only,Maeve-O'Connell.D.2024-11-29,Maeve O'Connell,Fine Gael,Dublin Rathdown,,missing,present,False
member_profile_metrics:trial_only:Marie-Sherlock.S.2020-03-30,member_profile_metrics,trial_only,Marie-Sherlock.S.2020-03-30,Marie Sherlock,Labour Party,Dublin Central,,missing,present,False
member_profile_metrics:trial_only:Mark-Wall.S.2020-03-30,member_profile_metrics,trial_only,Mark-Wall.S.2020-03-30,Mark Wall,Labour Party,Kildare South,,missing,present,False
member_profile_metrics:trial_only:Mark-Ward.D.2019-11-29,member_profile_metrics,trial_only,Mark-Ward.D.2019-11-29,Mark Ward,Sinn Féin,Dublin Mid-West,,missing,present,False
member_profile_metrics:trial_only:Mary-Lou-McDonald.D.2011-03-09,member_profile_metrics,trial_only,Mary-Lou-McDonald.D.2011-03-09,Mary Lou McDonald,Sinn Féin,Dublin Central,,missing,present,False
member_profile_metrics:trial_only:Mattie-McGrath.D.2007-06-14,member_profile_metrics,trial_only,Mattie-McGrath.D.2007-06-14,Mattie McGrath,Independent,Tipperary South,,missing,present,False
member_profile_metrics:trial_only:Maurice-Quinlivan.D.2016-10-03,member_profile_metrics,trial_only,Maurice-Quinlivan.D.2016-10-03,Maurice Quinlivan,Sinn Féin,Limerick City,,missing,present,False
member_profile_metrics:trial_only:Michael-Moynihan.D.1997-06-26,member_profile_metrics,trial_only,Michael-Moynihan.D.1997-06-26,Michael Moynihan,Fianna Fáil,Cork North-West,,missing,present,False
member_profile_metrics:trial_only:Michael-Murphy.D.2024-11-29,member_profile_metrics,trial_only,Michael-Murphy.D.2024-11-29,Michael Murphy,Fine Gael,Tipperary South,,missing,present,False
