bill_debate_id,bill_id,debate_id,debate_uri,debate_date,debate_show_as,debate_section_id,chamber_uri,chamber_name,debate_order,snapshot_date
bill_debate:f3b0a350153ec2395b48105f,https://data.oireachtas.ie/ie/oireachtas/bill/2026/80,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-07-09/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-07-09/debate/main,2026-07-09,Defence (Amendment) (No. 2) Bill 2026: First Stage,dbsect_35,https://data.oireachtas.ie/ie/oireachtas/def/house/dail,Dáil Éireann,1,2026-07-14
bill_debate:229551b589bdfd642a4ddfc0,https://data.oireachtas.ie/ie/oireachtas/bill/2026/79,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2026-07-08/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2026-07-08/debate/main,2026-07-08,Adult Safeguarding Strategy Bill 2026: First Stage,dbsect_9,https://data.oireachtas.ie/ie/oireachtas/def/house/seanad,Seanad Éireann,1,2026-07-14
bill_debate:6deffda0749241eed5c141ef,https://data.oireachtas.ie/ie/oireachtas/bill/2026/78,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-07-02/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-07-02/debate/main,2026-07-02,Prevention of Energy Wastage Bill 2026: First Stage,dbsect_33,https://data.oireachtas.ie/ie/oireachtas/def/house/dail,Dáil Éireann,1,2026-07-14
bill_debate:8ea8ceba1621ebed0eadf9f7,https://data.oireachtas.ie/ie/oireachtas/bill/2026/75,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2026-07-09/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2026-07-09/debate/main,2026-07-09,Planning and Development (Amendment) Bill 2026: Second Stage,dbsect_18,https://data.oireachtas.ie/ie/oireachtas/def/house/seanad,Seanad Éireann,1,2026-07-14
bill_debate:76d7cd261d21299558fc6589,https://data.oireachtas.ie/ie/oireachtas/bill/2026/75,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-07-08/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-07-08/debate/main,2026-07-08,Planning and Development (Amendment) Bill 2026: Committee and Remaining Stages,dbsect_39,https://data.oireachtas.ie/ie/oireachtas/def/house/dail,Dáil Éireann,2,2026-07-14
bill_debate:c494262c57dd569f3e4c1755,https://data.oireachtas.ie/ie/oireachtas/bill/2026/75,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-07-02/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-07-02/debate/main,2026-07-02,Planning and Development (Amendment) Bill 2026: Second Stage,dbsect_34,https://data.oireachtas.ie/ie/oireachtas/def/house/dail,Dáil Éireann,3,2026-07-14
bill_debate:b85a7084330b5dcca441f877,https://data.oireachtas.ie/ie/oireachtas/bill/2026/74,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-07-09/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-07-09/debate/main,2026-07-09,Health (Provision of Contraception Prescribing Service in Retail Pharmacy Businesses) Bill 2026: Second Stage,dbsect_37,https://data.oireachtas.ie/ie/oireachtas/def/house/dail,Dáil Éireann,1,2026-07-14
bill_debate:fdd16589a9a1de029c5239c9,https://data.oireachtas.ie/ie/oireachtas/bill/2026/73,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-23/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-23/debate/main,2026-06-23,Anti-Shrinkflation Bill 2026: First Stage,dbsect_8,https://data.oireachtas.ie/ie/oireachtas/def/house/dail,Dáil Éireann,1,2026-07-14
bill_debate:b12e6b45f0640f741c08c0fa,https://data.oireachtas.ie/ie/oireachtas/bill/2026/72,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2026-07-07/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2026-07-07/debate/main,2026-07-07,Development (Strategic Gas Reserve) Bill 2026: Second Stage,dbsect_11,https://data.oireachtas.ie/ie/oireachtas/def/house/seanad,Seanad Éireann,1,2026-07-14
bill_debate:517ed952964420938fc1e6ea,https://data.oireachtas.ie/ie/oireachtas/bill/2026/72,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-30/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-30/debate/main,2026-06-30,Development (Strategic Gas Reserve) Bill 2026: Committee and Remaining Stages,dbsect_14,https://data.oireachtas.ie/ie/oireachtas/def/house/dail,Dáil Éireann,2,2026-07-14
