bill_sponsor_id,bill_id,sponsor_uri,sponsor_name,sponsor_role_uri,sponsor_role_name,is_primary,sponsor_order,snapshot_date
bill_sponsor:03296bdd2c16856a346198bb,https://data.oireachtas.ie/ie/oireachtas/bill/2026/80,https://data.oireachtas.ie/ie/oireachtas/member/id/Paul-Murphy.D.2014-10-10,Paul Murphy,,,true,1,2026-07-14
bill_sponsor:85d23c67f3e123686d23666d,https://data.oireachtas.ie/ie/oireachtas/bill/2026/80,https://data.oireachtas.ie/ie/oireachtas/member/id/Richard-Boyd-Barrett.D.2011-03-09,Richard Boyd Barrett,,,false,2,2026-07-14
bill_sponsor:166023bdbc016158fbd96a4e,https://data.oireachtas.ie/ie/oireachtas/bill/2026/80,https://data.oireachtas.ie/ie/oireachtas/member/id/Ruth-Coppinger.D.2014-05-23,Ruth Coppinger,,,false,3,2026-07-14
bill_sponsor:ddf3bd8a2324c62c73db1531,https://data.oireachtas.ie/ie/oireachtas/bill/2026/79,https://data.oireachtas.ie/ie/oireachtas/member/id/Tom-Clonan.S.2022-04-04,Tom Clonan,,,true,1,2026-07-14
bill_sponsor:e21164a51338960b8a2c8999,https://data.oireachtas.ie/ie/oireachtas/bill/2026/79,https://data.oireachtas.ie/ie/oireachtas/member/id/Michael-McDowell.D.1987-03-10,Michael McDowell,,,false,2,2026-07-14
bill_sponsor:94fe5262e20db47e6df838df,https://data.oireachtas.ie/ie/oireachtas/bill/2026/79,https://data.oireachtas.ie/ie/oireachtas/member/id/Aubrey-McCarthy.S.2025-01-29,Aubrey McCarthy,,,false,3,2026-07-14
bill_sponsor:6ade227b9ffbb94078478c0e,https://data.oireachtas.ie/ie/oireachtas/bill/2026/79,https://data.oireachtas.ie/ie/oireachtas/member/id/Joe-Conway.S.2025-01-29,Joe Conway,,,false,4,2026-07-14
bill_sponsor:f8b42072b2c7dc2e7be5741b,https://data.oireachtas.ie/ie/oireachtas/bill/2026/79,https://data.oireachtas.ie/ie/oireachtas/member/id/Victor-Boyhan.S.2016-04-25,Victor Boyhan,,,false,5,2026-07-14
bill_sponsor:1e085c9ac52df80fbe16eebd,https://data.oireachtas.ie/ie/oireachtas/bill/2026/79,https://data.oireachtas.ie/ie/oireachtas/member/id/Gerard-P-Craughwell.S.2014-10-10,Gerard P. Craughwell,,,false,6,2026-07-14
bill_sponsor:e45799539dd00584fca65e73,https://data.oireachtas.ie/ie/oireachtas/bill/2026/79,https://data.oireachtas.ie/ie/oireachtas/member/id/Rónán-Mullen.S.2007-07-23,Rónán Mullen,,,false,7,2026-07-14
