division_tally_id,division_id,vote_code,vote_label,show_as,member_count,snapshot_date
division_tally:52ecb5b3abf4f3540b3c4d3a,https://data.oireachtas.ie/ie/oireachtas/division/house/dail/34/2026-07-08/vote_170,ta,yes,Tá,44,2026-07-12
division_tally:be9bd18ee667faa1ad73fbeb,https://data.oireachtas.ie/ie/oireachtas/division/house/dail/34/2026-07-08/vote_170,nil,no,Níl,97,2026-07-12
division_tally:2e9ebc7cdde611b2cb660029,https://data.oireachtas.ie/ie/oireachtas/division/house/dail/34/2026-07-08/vote_170,staon,abstain,Staon,0,2026-07-12
division_tally:2e082ca730d757aaca5ce5a3,https://data.oireachtas.ie/ie/oireachtas/division/house/dail/34/2026-07-08/vote_171,ta,yes,Tá,97,2026-07-12
division_tally:1b267e5901b14f67c4be53dd,https://data.oireachtas.ie/ie/oireachtas/division/house/dail/34/2026-07-08/vote_171,nil,no,Níl,46,2026-07-12
division_tally:f0fc45f38aedbb651731d33c,https://data.oireachtas.ie/ie/oireachtas/division/house/dail/34/2026-07-08/vote_171,staon,abstain,Staon,0,2026-07-12
division_tally:60d531f780763817a30144e0,https://data.oireachtas.ie/ie/oireachtas/division/house/dail/34/2026-07-08/vote_172,ta,yes,Tá,68,2026-07-12
division_tally:d6aed012d231f2bc2d35e509,https://data.oireachtas.ie/ie/oireachtas/division/house/dail/34/2026-07-08/vote_172,nil,no,Níl,81,2026-07-12
division_tally:4f831706fd87ea146fe1822a,https://data.oireachtas.ie/ie/oireachtas/division/house/dail/34/2026-07-08/vote_172,staon,abstain,Staon,0,2026-07-12
division_tally:93fc0172e7df7c5354dd3b20,https://data.oireachtas.ie/ie/oireachtas/division/house/dail/34/2026-07-08/vote_173,ta,yes,Tá,80,2026-07-12
