member_constituency_id,membership_id,member_code,constituency_uri,constituency_name,represent_start,represent_end,is_current,snapshot_date
generated:member_constituency:a57a25e13e356160,https://data.oireachtas.ie/ie/oireachtas/member/id/Ciarán-Ahern.D.2024-11-29/house/dail/34,Ciarán-Ahern.D.2024-11-29,https://data.oireachtas.ie/ie/oireachtas/house/dail/34/constituency/Dublin-South-West,Dublin South-West,2024-11-29,,True,2026-06-07
generated:member_constituency:ea8747ea5673a323,https://data.oireachtas.ie/ie/oireachtas/member/id/William-Aird.D.2024-11-29/house/dail/34,William-Aird.D.2024-11-29,https://data.oireachtas.ie/ie/oireachtas/house/dail/34/constituency/Laois,Laois,2024-11-29,,True,2026-06-07
generated:member_constituency:a8f164556a4d3567,https://data.oireachtas.ie/ie/oireachtas/member/id/Catherine-Ardagh.S.2016-04-25/house/dail/34,Catherine-Ardagh.S.2016-04-25,https://data.oireachtas.ie/ie/oireachtas/house/dail/34/constituency/Dublin-South-Central,Dublin South-Central,2024-11-29,,True,2026-06-07
generated:member_constituency:4443ead28c0a4e42,https://data.oireachtas.ie/ie/oireachtas/member/id/Ivana-Bacik.S.2007-07-23/house/dail/34,Ivana-Bacik.S.2007-07-23,https://data.oireachtas.ie/ie/oireachtas/house/dail/34/constituency/Dublin-Bay-South,Dublin Bay South,2024-11-29,,True,2026-06-07
generated:member_constituency:caf2dca2ffc4b934,https://data.oireachtas.ie/ie/oireachtas/member/id/Cathy-Bennett.D.2024-11-29/house/dail/34,Cathy-Bennett.D.2024-11-29,https://data.oireachtas.ie/ie/oireachtas/house/dail/34/constituency/Cavan-Monaghan,Cavan-Monaghan,2024-11-29,,True,2026-06-07
generated:member_constituency:eadcccfc1f0c4be6,https://data.oireachtas.ie/ie/oireachtas/member/id/Grace-Boland.D.2024-11-29/house/dail/34,Grace-Boland.D.2024-11-29,https://data.oireachtas.ie/ie/oireachtas/house/dail/34/constituency/Dublin-Fingal-West,Dublin Fingal West,2024-11-29,,True,2026-06-07
generated:member_constituency:778464aa1fa008db,https://data.oireachtas.ie/ie/oireachtas/member/id/Richard-Boyd-Barrett.D.2011-03-09/house/dail/34,Richard-Boyd-Barrett.D.2011-03-09,https://data.oireachtas.ie/ie/oireachtas/house/dail/34/constituency/Dún-Laoghaire,Dún Laoghaire,2024-11-29,,True,2026-06-07
generated:member_constituency:ac5465e373cfcae2,https://data.oireachtas.ie/ie/oireachtas/member/id/Tom-Brabazon.D.2024-11-29/house/dail/34,Tom-Brabazon.D.2024-11-29,https://data.oireachtas.ie/ie/oireachtas/house/dail/34/constituency/Dublin-Bay-North,Dublin Bay North,2024-11-29,,True,2026-06-07
generated:member_constituency:0bc56e0319232e3d,https://data.oireachtas.ie/ie/oireachtas/member/id/John-Brady.D.2016-10-03/house/dail/34,John-Brady.D.2016-10-03,https://data.oireachtas.ie/ie/oireachtas/house/dail/34/constituency/Wicklow,Wicklow,2024-11-29,,True,2026-06-07
generated:member_constituency:2da2078efb54be53,https://data.oireachtas.ie/ie/oireachtas/member/id/Brian-Brennan.D.2024-11-29/house/dail/34,Brian-Brennan.D.2024-11-29,https://data.oireachtas.ie/ie/oireachtas/house/dail/34/constituency/Wicklow-Wexford,Wicklow-Wexford,2024-11-29,,True,2026-06-07
