member_party_id,membership_id,member_code,party_uri,party_name,party_start,party_end,is_current,snapshot_date
generated:member_party:27291987f38587a1,https://data.oireachtas.ie/ie/oireachtas/member/id/Ciarán-Ahern.D.2024-11-29/house/dail/34,Ciarán-Ahern.D.2024-11-29,https://data.oireachtas.ie/ie/oireachtas/party/dail/34/Labour_Party,Labour Party,2024-11-29,,True,2026-06-30
generated:member_party:7559c30bbd101dbb,https://data.oireachtas.ie/ie/oireachtas/member/id/William-Aird.D.2024-11-29/house/dail/34,William-Aird.D.2024-11-29,https://data.oireachtas.ie/ie/oireachtas/party/dail/34/Fine_Gael,Fine Gael,2024-11-29,,True,2026-06-30
generated:member_party:64fdb743bdf65eb4,https://data.oireachtas.ie/ie/oireachtas/member/id/Catherine-Ardagh.S.2016-04-25/house/dail/34,Catherine-Ardagh.S.2016-04-25,https://data.oireachtas.ie/ie/oireachtas/party/dail/34/Fianna_Fáil,Fianna Fáil,2024-11-29,,True,2026-06-30
generated:member_party:edd9dcd8e2d54ab1,https://data.oireachtas.ie/ie/oireachtas/member/id/Ivana-Bacik.S.2007-07-23/house/dail/34,Ivana-Bacik.S.2007-07-23,https://data.oireachtas.ie/ie/oireachtas/party/dail/34/Labour_Party,Labour Party,2024-11-29,,True,2026-06-30
generated:member_party:0f8d615a3a33ae30,https://data.oireachtas.ie/ie/oireachtas/member/id/Cathy-Bennett.D.2024-11-29/house/dail/34,Cathy-Bennett.D.2024-11-29,https://data.oireachtas.ie/ie/oireachtas/party/dail/34/Sinn_Féin,Sinn Féin,2024-11-29,,True,2026-06-30
generated:member_party:9d1b6395b422fa1e,https://data.oireachtas.ie/ie/oireachtas/member/id/Grace-Boland.D.2024-11-29/house/dail/34,Grace-Boland.D.2024-11-29,https://data.oireachtas.ie/ie/oireachtas/party/dail/34/Fine_Gael,Fine Gael,2024-11-29,,True,2026-06-30
generated:member_party:3f96dd01668b1e56,https://data.oireachtas.ie/ie/oireachtas/member/id/Richard-Boyd-Barrett.D.2011-03-09/house/dail/34,Richard-Boyd-Barrett.D.2011-03-09,https://data.oireachtas.ie/ie/oireachtas/party/dail/34/People_Before_Profit_Solidarity,People Before Profit-Solidarity,2024-11-29,,True,2026-06-30
generated:member_party:0926fb2d661dbe3a,https://data.oireachtas.ie/ie/oireachtas/member/id/Tom-Brabazon.D.2024-11-29/house/dail/34,Tom-Brabazon.D.2024-11-29,https://data.oireachtas.ie/ie/oireachtas/party/dail/34/Fianna_Fáil,Fianna Fáil,2024-11-29,,True,2026-06-30
generated:member_party:966b477ba4eabc3b,https://data.oireachtas.ie/ie/oireachtas/member/id/John-Brady.D.2016-10-03/house/dail/34,John-Brady.D.2016-10-03,https://data.oireachtas.ie/ie/oireachtas/party/dail/34/Sinn_Féin,Sinn Féin,2024-11-29,,True,2026-06-30
generated:member_party:4e7966c3037b7164,https://data.oireachtas.ie/ie/oireachtas/member/id/Brian-Brennan.D.2024-11-29/house/dail/34,Brian-Brennan.D.2024-11-29,https://data.oireachtas.ie/ie/oireachtas/party/dail/34/Fine_Gael,Fine Gael,2024-11-29,,True,2026-06-30
