member_vote_id,division_id,vote_id,division_date,member_code,member_name,vote_code,vote_label,party_name_at_vote,constituency_name_at_vote,snapshot_date
member_vote:318b6c33db09bb3bd3da7a03,https://data.oireachtas.ie/ie/oireachtas/division/house/dail/34/2025-12-17/vote_204,vote_204,2025-12-17,Ciarán-Ahern.D.2024-11-29,"Ahern, Ciarán.",ta,yes,,,2026-06-17
member_vote:761a7f9984e3c6a055ff3dc4,https://data.oireachtas.ie/ie/oireachtas/division/house/dail/34/2025-12-17/vote_204,vote_204,2025-12-17,Ivana-Bacik.S.2007-07-23,"Bacik, Ivana.",ta,yes,,,2026-06-17
member_vote:0976f3b0bc27d8d6844f807c,https://data.oireachtas.ie/ie/oireachtas/division/house/dail/34/2025-12-17/vote_204,vote_204,2025-12-17,Cathy-Bennett.D.2024-11-29,"Bennett, Cathy.",ta,yes,,,2026-06-17
member_vote:d352ccc3c616537052a9721e,https://data.oireachtas.ie/ie/oireachtas/division/house/dail/34/2025-12-17/vote_204,vote_204,2025-12-17,Richard-Boyd-Barrett.D.2011-03-09,"Boyd Barrett, Richard.",ta,yes,,,2026-06-17
member_vote:f4434c118bfe305db282b9c5,https://data.oireachtas.ie/ie/oireachtas/division/house/dail/34/2025-12-17/vote_204,vote_204,2025-12-17,John-Brady.D.2016-10-03,"Brady, John.",ta,yes,,,2026-06-17
member_vote:bac506c0b17880d0516ddb22,https://data.oireachtas.ie/ie/oireachtas/division/house/dail/34/2025-12-17/vote_204,vote_204,2025-12-17,Pat-Buckley.D.2016-10-03,"Buckley, Pat.",ta,yes,,,2026-06-17
member_vote:32c7cf62effadb221f2351df,https://data.oireachtas.ie/ie/oireachtas/division/house/dail/34/2025-12-17/vote_204,vote_204,2025-12-17,Joanna-Byrne.D.2024-11-29,"Byrne, Joanna.",ta,yes,,,2026-06-17
member_vote:c35e03f1d5b9e367abfd03e6,https://data.oireachtas.ie/ie/oireachtas/division/house/dail/34/2025-12-17/vote_204,vote_204,2025-12-17,Matt-Carthy.D.2020-02-08,"Carthy, Matt.",ta,yes,,,2026-06-17
member_vote:66cdd3a9c4dd6f1af7e26826,https://data.oireachtas.ie/ie/oireachtas/division/house/dail/34/2025-12-17/vote_204,vote_204,2025-12-17,Michael-Collins.D.2016-10-03,"Collins, Michael.",ta,yes,,,2026-06-17
member_vote:04fefb7cc02a77fc7f7d0aa1,https://data.oireachtas.ie/ie/oireachtas/division/house/dail/34/2025-12-17/vote_204,vote_204,2025-12-17,Rose-Conway-Walsh.S.2016-04-25,"Conway-Walsh, Rose.",ta,yes,,,2026-06-17
